Company,Symbol,Weight
Ameren Corporation,AEE,0.061466
Weyerhaeuser Co,WY,0.061241
Dte Energy Company,DTE,0.060937
Verisign Inc,VRSN,0.059777
M & T Bank Corp,MTB,0.059637
Intl Flavors & Fragrances,IFF,0.05929
Insulet Corp,PODD,0.059263
Firstenergy Corp,FE,0.059075
Align Technology Inc,ALGN,0.059043
Equity Residential,EQR,0.058889
Entergy Corp,ETR,0.058393
Coterra Energy Inc,CTRA,0.058039
Steris Plc,STE,0.057684
Hologic Inc,HOLX,0.057541
Clorox Company,CLX,0.057187
First Solar Inc,FSLR,0.056987
Extra Space Storage Inc,EXR,0.056878
Darden Restaurants Inc,DRI,0.056734
Ppl Corp,PPL,0.056096
Fair Isaac Corp,FICO,0.055812
Laboratory Crp of Amer Hldgs,LH,0.055327
Dover Corp,DOV,0.055091
Invitation Homes Inc,INVH,0.055089
Cooper Cos Inc,COO,0.054074
Monolithic Power Systems Inc,MPWR,0.053958
Omnicom Group,OMC,0.053661
Teledyne Technologies Inc,TDY,0.053567
Las Vegas Sands Corp,LVS,0.052983
Hewlett Packard Enterprise,HPE,0.052862
Xylem Inc,XYL,0.052818
Nasdaq Inc,NDAQ,0.052674
Centerpoint Energy Inc,CNP,0.052243
Alexandria Real Estate Equit,ARE,0.05223
Expeditors Intl Wash Inc,EXPD,0.051708
Broadridge Financial Solutio,BR,0.051104
Kellogg Co,K,0.050788
Fifth Third Bancorp,FITB,0.050371
Raymond James Financial Inc,RJF,0.050014
Southwest Airlines Co,LUV,0.049749
Ventas Inc,VTR,0.049708
Wabtec Corp,WAB,0.049693
Fleetcor Technologies Inc,FLT,0.049636
Cms Energy Corp,CMS,0.04903
Royal Caribbean Cruises Ltd,RCL,0.048814
Nvr Inc,NVR,0.048813
Ball Corp,BALL,0.048679
Mid America Apartment Comm,MAA,0.048512
Atmos Energy Corp,ATO,0.048321
Conagra Brands Inc,CAG,0.048122
Regions Financial Corp,RF,0.047335
Molina Healthcare Inc,MOH,0.047271
Solaredge Technologies Inc,SEDG,0.046702
Tyler Technologies Inc,TYL,0.04642
Targa Resources Corp,TRGP,0.046164
Cincinnati Financial Corp,CINF,0.046108
Howmet Aerospace Inc,HWM,0.046071
Jm Smucker Co,SJM,0.045994
Garmin Ltd,GRMN,0.045712
Skyworks Solutions Inc,SWKS,0.04568
Lamb Weston Holdings Inc,LW,0.045293
Principal Financial Group,PFG,0.045131
Iron Mountain Inc,IRM,0.045055
Steel Dynamics Inc,STLD,0.044811
Waters Corp,WAT,0.04437
Marathon Oil Corp,MRO,0.044158
United Airlines Holdings Inc,UAL,0.044154
Idex Corp,IEX,0.043471
Amcor Plc,AMCR,0.043128
Northern Trust Corp,NTRS,0.043119
Pultegroup Inc,PHM,0.043005
Brown & Brown Inc,BRO,0.043
Revvity Inc,RVTY,0.042909
Huntington Bancshares Inc,HBAN,0.042893
Tyson Foods Inc Cl A,TSN,0.042866
Teradyne Inc,TER,0.042707
Factset Research Systems Inc,FDS,0.042666
Jacobs Solutions Inc,J,0.042534
Quest Diagnostics Inc,DGX,0.04249
Interpublic Group of Cos Inc,IPG,0.042308
Epam Systems Inc,EPAM,0.041883
Netapp Inc,NTAP,0.041675
Everest Re Group Ltd,RE,0.041168
Hunt (Jb) Transprt Svcs Inc,JBHT,0.040425
Ptc Inc,PTC,0.040222
Expedia Group Inc,EXPE,0.040203
Akamai Technologies Inc,AKAM,0.040141
Lkq Corp,LKQ,0.039557
Paycom Software Inc,PAYC,0.039519
Best Buy Co Inc,BBY,0.039475
Bunge Ltd,BG,0.03938
Snap on Inc,SNA,0.039369
Aes Corp,AES,0.039239
Zebra Technologies Corp Cl A,ZBRA,0.039044
Avery Dennison Corp,AVY,0.039027
Evergy Inc,EVRG,0.038737
Essex Property Trust Inc,ESS,0.038647
Eqt Corp,EQT,0.038481
Citizens Financial Group,CFG,0.038217
Fmc Corp,FMC,0.038127
Synchrony Financial,SYF,0.038091
Textron Inc,TXT,0.037995
Alliant Energy Corp,LNT,0.037815
Axon Enterprise Inc,AXON,0.037739
Pool Corp,POOL,0.037723
Cf Industries Holdings Inc,CF,0.03735
Bio Techne Corp,TECH,0.037274
Mgm Resorts International,MGM,0.036731
Udr Inc,UDR,0.034948
